"rowname","ncit","oncotree"
"C3405","C3405","FT"
"C3407","C3407","ET"
"C3411","C3411","THYM"
"C3434","C3434","ULM"
"C34447","C34447","HNSC"
"C3457","C3457","MBN"
"C3465","C3465","FTCL"
"C3466","C3466","MTNN"
"C3473","C3473","CPT"
"C3474","C3474","GCT"
"C3493","C3493","LUSC"
"C3510","C3510","SKCM"
"C3512","C3512","LUAD"
"C3517","C3517","MCCHL"
"C3518","C3518","NSCHL"
"C3519","C3519","ACML"
"C3520","C3520","MS"
"C35417","C35417","IHCH"
"C35700","C35700","MYEC"
"C35837","C35837","SBL"
"C35850","C35850","OHNCA"
"C35875","C35875","NSCLC"
"C36051","C36051","UDMN"
"C36055","C36055","AMLRARA"
"C36061","C36061","CMML1"
"C36062","C36062","CMML2"
"C36075","C36075","RDD"
"C36077","C36077","EHCH"
"C36081","C36081","ABC"
"C36100","C36100","SOC"
"C36101","C36101","SOC"
"C3682","C3682","SGAD"
"C3689","C3689","GCCAP"
"C3694","C3694","AN"
"C3697","C3697","MPE"
"C3698","C3698","CPP"
"C3704","C3704","DDLS"
"C3705","C3705","PLLS"
"C3706","C3706","MMB"
"C3714","C3714","EPIS"
"C3716","C3716","PNET"
"C37193","C37193","ALCLALKP"
"C37194","C37194","ALCLALKN"
"C3720","C3720","ALCL"
"C3721","C3721","LYP"
"C37212","C37212","SPN"
"C37257","C37257","DESM"
"C3728","C3728","LIHB"
"C37290","C37290","OCSC"
"C3737","C3737","MCHSCNS"
"C3742","C3742","IMS"
"C3744","C3744","FA"
"C3745","C3745","CCS"
"C3749","C3749","ARMS"
"C3750","C3750","ASPS"
"C3751","C3751","SMN"
"C3753","C3753","GMN"
"C3757","C3757","PSTT"
"C3758","C3758","LIAD"
"C3769","C3769","CEEN"
"C3772","C3772","MUCC"
"C3773","C3773","NECNOS"
"C3775","C3775","SKAC"
"C37869","C37869","BCLU"
"C3787","C3787","PRNET"
"C3788","C3788","GNG"
"C3789","C3789","ONBL"
"C3790","C3790","GNBL"
"C3791","C3791","CNC"
"C3794","C3794","TSCST"
"C3795","C3795","SUBE"
"C3796","C3796","GSARC"
"C3798","C3798","MPNST"
"C3800","C3800","EHAE"
"C3801","C3801","HMBL"
"C3802","C3802","MEL"
"C3808","C3808","MRT"
"C3809","C3809","NETNOS"
"C3812","C3812","CUP"
"C38150","C38150","PECOMA"
"C38153","C38153","LAM"
"C3828","C3828","HCCIHCH"
"C38335","C38335","GCB"
"C38342","C38342","IPMN"
"C3850","C3850","PAAD"
"C3868","C3868","GIST"
"C3871","C3871","NPC"
"C3873","C3873","OGCT"
"C3877","C3877","TT"
"C3878","C3878","THAP"
"C3879","C3879","THME"
"C3888","C3888","RAML"
"C3892","C3892","MHCD"
"C3898","C3898","EMALT"
"C3902","C3902","TEOS"
"C3904","C3904","PPM"
"C3908","C3908","AMPCA"
"C3915","C3915","SCUP"
"C3918","C3918","EGCT"
"C3944","C3944","SKCN"
"C39591","C39591","CLPDNK"
"C39740","C39740","IMTL"
"C39807","C39807","MTSCC"
"C39823","C39823","SRCBC"
"C39824","C39824","SCB"
"C39842","C39842","URCA"
"C39843","C39843","UA"
"C39851","C39851","BLCA"
"C39858","C39858","UPA"
"C39902","C39902","BCCP"
"C39954","C39954","BTOV"
"C3996","C3996","MGUS"
"C39985","C39985","OGBL"
"C39990","C39990","OPE"
"C4001","C4001","IBC"
"C4002","C4002","EP"
"C40036","C40036","MBOV"
"C40038","C40038","OSMBT"
"C4004","C4004","STAD"
"C40076","C40076","CCOV"
"C40078","C40078","CCOV"
"C40080","C40080","CCBOV"
"C40144","C40144","UMC"
"C40174","C40174","UELMS"
"C40175","C40175","UMLMS"
"C40176","C40176","USMT"
"C40177","C40177","USTUMP"
"C4018","C4018","LCIS"
"C40180","C40180","UPECOMA"
"C4020","C4020","FIOS"
"C40203","C40203","ICEMU"
"C40205","C40205","SCEMU"
"C4021","C4021","CHOS"
"C40212","C40212","CEGCC"
"C40213","C40213","CABC"
"C40214","C40214","CENE"
"C4022","C4022","ACRM"
"C4023","C4023","SCOS"
"C4024","C4024","ESCC"
"C4025","C4025","ESCA"
"C40252","C40252","VMA"
"C40254","C40254","CEMN"
"C4026","C4026","MOV"
"C4028","C4028","CESC"
